indicator,ISO Country code,GDP ($ USD billions PPP) 2018,GDP ($ USD billions PPP) 2019,GDP ($ USD billions PPP) 2020,GDP ($ USD billions PPP) 2021,GDP per capita in $ (PPP) 2018,GDP per capita in $ (PPP) 2019,GDP per capita in $ (PPP) 2020,GDP per capita in $ (PPP) 2021,health expenditure % of GDP 2014,health expenditure % of GDP 2015,health expenditure % of GDP 2016,health expenditure % of GDP 2017,health expenditure % of GDP 2018,health expenditure % of GDP 2019,health expenditure % of GDP 2020,health expenditure % of GDP 2021,health expenditure % of GDP 2022,health expenditure per person 2015,health expenditure per person 2018,health expenditure per person 2019,unemployment (%) 2018,unemployment (%) 2021,Military Spending as % of GDP 2021,Military Spending as % of GDP 2019
Costa Rica,CRI,103.4,105.9,101.6,109.3,21319,22632,22244,23387,6.68,6.87,6.89,7.07,6.77,6.8,6.71,,6.71,"1,286",909.7,921.6,9,17.95,,0.00%
Cote d'Ivoire,CIV,126.2,134,136.7,146.3,5154,5433,5465,5940,3.31,3.49,3.97,3.8,3.24,3.72,3.44,,3.44,190,72.2,75.1,9.3,3.47,1.25%,1.10%
Croatia,HRV,115.2,119.3,109.6,121.1,28877,30544,28780,33801,,,,3.85,3.91,,,,,"1,656",1014.2,1040.1,13.5,8.68,2.74%,1.70%
Cuba,CUB,,,,,,,,,,,,,,,,,,,986.9,1031.9,2.9,2.76,,2.90%
Cyprus,CYP,34.8,36.6,34.8,36.7,40559,42339,39593,42556,6.44,6.33,6.15,5.72,,,,,,"2,137",1981.8,1996.5,11.7,6.13,1.99%,1.60%
Czech Republic,CZE,424.5,437.3,412,425.8,41135,42847,41608,44261,3.97,5.75,5.55,3.81,4.27,,,,4.27,"2,470",1765.6,1844.2,4,2.89,1.43%,1.20%
Denmark,DNK,325.5,332.4,325.5,340.8,57483,58701,60230,64651,7.63,,,7.75,6.79,,,,6.79,"5,083",6216.8,6003.3,6.1,4.8,1.37%,1.30%
Djibouti,DJI,4.9,5.1,5.2,5.4,5181,5482,5533,5926,,3.59,3.92,3.75,3.63,,,,3.63,147,71.1,61.8,6.6,28.39,,3.70%
Dominican Republic,DOM,188.2,197.7,184.4,207.1,18135,19190,17934,20769,3.96,3.82,3.85,3.92,3.93,4.04,4.62,,4.62,873,461.5,491.1,14.4,8.5,0.65%,0.70%
Ecuador,ECU,197.5,197.5,182.2,189.9,11838,11850,10890,11661,5.26,5,4.36,4.61,4.62,4.23,4.13,,4.13,980,495.2,486.5,5.4,6.43,2.46%,2.30%
Egypt,EGY,"1,118.70","1,180.90","1,223.00","1,263.70",11638,12260,12606,13316,4.25,3.93,4.05,,,2.61,2.48,,2.48,495,125.5,149.8,12,9.33,1.30%,1.20%
El Salvador,SLV,55.3,56.6,51.8,57.4,8822,9147,8420,9669,3.82,3.91,3.83,3.73,3.61,3.39,,,3.39,578,288.5,300.1,6.3,5.94,1.37%,1.20%
Equatorial Guinea,GNQ,26.7,25.2,24.2,23.9,20873,19385,18158,18127,,,,,,,,,,790,310.6,254.9,7.3,9.24,1.31%,1.10%
Eritrea,ERI,,,,,,,,,,,,,,,,,,56,24,25.3,7.3,8.05,,
